ref;value;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
C1;0.10u;399-1169-2-ND;Kemet;C0805C104M5RACTU
C2;0.10u;399-1169-2-ND;Kemet;C0805C104M5RACTU
C3;0.10u;399-1169-2-ND;Kemet;C0805C104M5RACTU
C4;0.10u;399-1169-2-ND;Kemet;C0805C104M5RACTU
C5;10u;EEE-HB1E100AR;Panasonic - ECG;EEE-HB1E100AR
C6;10u;EEE-HB1E100AR;Panasonic - ECG;EEE-HB1E100AR
C7;1.0u;587-2229-2-ND;Taiyo Yuden;UMK212BJ105KG-T
C8;0.10u;399-1169-2-ND;Kemet;C0805C104M5RACTU
D1;LED;754-1131-2-ND;Kingbright Corp;APT2012SGC
D2;LED;754-1131-2-ND;Kingbright Corp;APT2012SGC
D3;DIODE;n/a;Bourns;CD1206-S01575;Mouser Electronics;652-CD1206-S01575 
IC1;ATMEGA644P-A;ATMEGA644PA-AU-ND;Atmel;ATMEGA644PA-AU
JP1;JUMPER
P1;CONN_3X2
P2;CONN_2
P3;CONN_6
P4;CONN_3POS_2.5MM_V
P5;CONN_4
R1;1K;P1.00KCTR-ND;Panasonic - ECG;ERJ-6ENF1001V
R2;1K;P1.00KCTR-ND;Panasonic - ECG;ERJ-6ENF1001V
R3;10k;P10.0KCTR-ND;Panasonic - ECG;ERJ-6ENF1002V
R4;330;P330CTR-ND;Panasonic - ECG;ERJ-6ENF3300V
S1;SW_TACT
U1;7805;497-1171-1-ND;STMicroelectronics;L7805CD2T-TR
X1;XTAL_RESONATOR
